　どこで	生れたか
こいつは	寄れないと
主人は	執っている
所で	聞いた
　ところへ	行かれないと
新体詩でも	作っているのかね
面白いのが	出来たら見せた
文章だと	思ったから
文章だい」	分らんよ」
全体	あったのか」と
「第二読本」と	答える
第二読本が	どうしたんだ」
讐を	討とうと
山陽に、	ござらぬかと
どれ	読んで
主人は	読み始める
引力」	云うのは」
本文を	読むさ、
ケートは	眺める
小児が	投げて
彼等は	擲つ
球は	のぼる
彼等はまた	擲つ
たびに	落ちてくる
落ちるのか、	のぼらぬかと
地中に	住む
彼は	引く
彼は	引く
小児も	飛んでしまう
葉が	落ちるのを
あれは	呼ぶのである
本を	落す
巨人引力が	来いと
球が	あがる
巨人引力は	呼ぶ
これは	恐れ入った
ところで	預った」
君に	して
主人には	通じない
君を	降参させる
文章だと	思ったから
恐縮だ」	及ばん
僕も	やめたから、
至りだよ」	乗り気になる」と
　ところへ	失礼しましたと
名文を	拝聴して
これも	する
左のみ	浮かれた
「先日は	来たよ」
東風と	云うのを
名は	越智東風ではありません、
「それが	来たので、
それだから	読むと
途中で	して
先生は	咽び返る
「先日	来た
それ」と	叩く
吾輩は	離れる
せんだって	御馳走した
何でも	やるつもりだから、
今度も	やる
僕は	思ってるよ」
大違いだ」と	とる
迷亭君は	笑う
ところだろう」と	云う
俎と	云う
事ですか」と	聞く
主人は	ねじ伏せる
「暮と	いえば、
経験か、	聞かし玉え」と
経験というのを	聞くと
二十七日と	記憶しているがね
東風から	伺いたいから
昼飯を	食って
夜間外出を	するなとか、
ものだ、	いかないと、
それに	つけても、
何か	大著述でもして
母の	生きている
戦争が	始まって
——	遊んじゃいないやね——
名前を	読んだ
私しも	取る
晩飯に	なったから、
手紙は	あるのだが
一日	動かず
東風が	来たら
方へは	出てしまった
晩は	曇って、から
方から	鳴って
感じが	する
無常迅速などと	云う
人が	云うが
首を	上げて
何だい」と	投げ入れる
松さ」と	縮める
台でしょう」寒月が	ひろげる
名が	付いたかと
上に	あるが、
年に	二三返は
松では	ならん
具合に	出ている
ままに	しておくのは
所へ	下げて
自分で	下がろうか
自分が	下がっては
希臘人は	添えたと
一人が	登って
首を	入れた
事実なら	及ばん、
首が	かかって
事に	しようと
東風に	逢って
かい」と	聞く
寒月が	にやにやしながら
「うちへ	帰って
今日は	あったので、
下駄を	引き懸けて、
どうしたんだい」と	焦れる
佳境に	入りますね」と
誰か	来て
一足違いでねえ	したよ
時は	取り着かれたんだね
ゼームスなどに	云わせると
事が	ある
　主人は	やられたと
　寒月は	笑っていたが、
事で	思われませんが、
首を	縊りたくなったの
これも	思われます」
迷亭も	頬張る
「その日は	ありまして、
令夫人が	集って
晩餐も	すみ
　主人は	謹聴している
「医者を	呼んで
夢で	うなされる
事ばかりが	あって
失敬だが	待ってくれ
さっきから	伺っていると
それだけは	廃しましょう」
「すべて	行くつもりかね」
「冷笑なさっては	話しなんですから……
欄干に	見ると
方から	一台馳けて来て
火を	見送っていると、
私はまた	見る
方で	呼ぶ
今時分人に	呼ばれる
違いない	帰ろうと
私は	聞きました
三度目に	呼ばれた
声は	出るようですが
私は	したのです
ものですから	見渡しました
何にも	見えません
時に	巻き込まれて、
声が	刺し通したので、
私を	呼ぶ
下だなと	思いながら
今度	呼んだら
ここだと	思って
かい」と	ぱちつかせて
「そこまで	行こうとは
後は	遠くなって、
眼が	さめて
変だと	気が付いて
中へ	飛び込んだつもりで
間違だけで	出る
経験と	似ている
材料に	なるね
感応と	云う
病気は	なったかね」と
「二三日前	行きましたら、
体であったが、	出す
何が	あるんだい」迷亭の
妙ですな」と	笑う
うちに	着いている
同刻じゃないか」と	まぜ返す
「いや日は	違うようだ
細君が	聞かしてくれろと
嫌いだから	した
翌日に	なると
堀川は	引き下がった
翌日に	なると
あなたは	知らないが、
御前が	行きたいなら
場所へ	行くには
駄目でも	行く
晩	くって
四時までに	行かなくては
それじゃ	過ぎれば
事には	し出してね」
「奥さんがですか」と	聞く
「なに細君は	いらあね
穴の	明いた
「急病だね」と	加える
事に	なった
願だから	叶えてやりたい
平生	叱りつけたり、
今日は	ある、
細君も	行きたいだろう、
悪寒が	して
気の毒だと	思うと
医者に	見てもらって
二時頃には	なりますから、
今杏仁水でも	飲めば
細君は	いらっしゃれませんかと
四時までには	見せるから
顔でも	洗って
悪寒は	劇しくなる、
四時までに	全快して
仕儀に	なって来た
事を	考えると
僕は	呼んだよ
manyaslip'twixtthecupandthelipと	云う
あなたくらい	ありはしないと
君等にも	弁解するが
妻を	愛する
眩暈で	乱れていた
失敗で	強くなる
眼は	ぐらぐらする
妻君は	着換える
いつでも	出掛けられますと
甘木君が	来てくれれば
妻君が	明けて
妻を	褒めるのは
もろ肌を	脱いで
顔が	聞こうと
希望を	満足させて
それじゃ	奮発して行こうかな、と
注文通りに	行った
容体を	はなすと、
気が	しまして」と
外出致しても	ございますまいね」と
先生は	考え込む
僕が	いう
水薬を	上げますから」
三時は	過ぎた
下女を	やる
厳命で	出して
四時には	ある
急に	来た
細君は	出てくる
茶碗を	置く
茶碗を	つけると
茶碗を	置き、
四時だ	愚図愚図して
十分頃に	なると、
「それから	行ったの
四時を	過ぎちゃ、
十五分ばかり	来てくれたら
ところだったと	思うのさ」
主人は	する
これで	立つと
　寒月は	云う
　迷亭は	いう
蔭で	云う
吾輩は	聞いていたが
時間を	潰す
我儘で	承知していたが、
点に	云う
両人の	話しを
気に	なって
エピクテタスに	しろと
逸民で、	切っているような
彼等が	ほのめいて、
言語動作が	帯びてないのは
急に	面白くなくなったので、
門松注目飾りは	なったが、
椽側に	あって
御師匠さんは	構わんが、
気合も	しないから、
事も	忘れて
仏師屋へ	参りましたら
奇麗に	出来た、
金は	剥げる
劃を	申しました」
　三毛子は、	立ち上る
チーン南無	する
「御前も	おやりなさい」
チーン南無	する
吾輩は	して来た
上に	立ったまま、
事を	致しましたね
始めは	引いたんでございましょうがねえ」
　三毛子も	貰った
野良猫が	誘い出したからだと、
弁解したかったが、	聞いている
早死を	するし
野良猫は	しているし……」
猫は	はおりませんからね」
二匹と	云う
考えでは	思っているらしい
顔は	類似している
代りに……」	参ったんでございますがねえ」
　御誂え通りに	なっては、
嫌いとも	云え
苦しさは	考えても
説明に	よると
身代りに	なるのなら
猫でも	こしらえてもらったのだから
慾を	云うと
　吾輩は	断っておくのに、
御経だって	浮かばれる
吾輩は	知らぬ
吾輩は	した
今頃は	受けているだろう
慵うく	感ぜら
主人に	劣らぬ
主人が	閉じ籠っているのを
一時は	あったが、
恩を	感謝すると同時に
御三が	知らずして
左甚五郎が	出て来て、
　三毛子は	死ぬ
黒は	ならず、
せんだっては	ある
この間は	ある
人間から	寄せら
方へ	接近して来たような
一人だと	思う
同族を	軽蔑する
ところに	向って
かような言語を	弄して
習癖を	脱化して
気位で	評隲したくなる
見識を	有している
写真も	送らぬ
不平と	云えば
吾輩は	なりすましているのだから、
評判だけで	御免蒙る
日曜なので、	唸っている
草稿を	書き
はてな詩に	なるか、
筆は	ぎり動かない
主人は	甞めだした
唇が	真黒になったと
中へ	うって
真中へ	開いた
主人も	見えて、
主人はまた	改める
考に	よると
空間を	研究し、
主人は	笑ったが
一本で	すむ
線が	並んでも
文章を	捻り出して
「なんだ」と	出す
返事が	気に入らないと
「なんだよ」と	抜く
「今月は	足りませんが……」
今月は	余らなければならん」と
あなたが	召し上らんで
「あなたばかりじゃありません、	舐めます」
肉が	付いているので
主人は	見る
頑固だな」と	吹く
「ジャムばかりじゃないんです、	あります」と
主人はまた	抜く
真白なのが	ある
大に	驚いた
いやだ」と	しかめて、
大に	感動した
妻君も	笑いながら
経済問題は	断念したらしい
主人はまた	取り懸る
　鼻毛で	追払った
「焼芋を	食うも
唐突だから	已めろ」と
所は	なってしまった
主人は	簡単過ぎるようだなと
苦心も	残らず
裏を	返して
天然居士噫」と	連ねている
ものと	心得ているのか
巨人引力かね」と	立ったまま
いつでも	書いて
墓銘を	撰している
「天然居士と	云うなあやはり
「偶然童子と	云うのも
卒業して	云う
親友なんだからな」	しない
曾呂崎を	変化させたのは
坊主の	つける
迷亭は	死す
天然居士噫」と	読み上る
主人は	云う
墓銘を	彫り付けて
天然居士も	浮かばれる
接待掛りを	命ぜられて
迷亭は	釣るす
「あと	ぶら下げては、
御雑煮を	食べて
宙乗りを	しながらも
迷亭は	卸してくれない
「なるほど踊りでも	おどりそうな
油断の	ならない
草双紙に	ある
細君は	出てくる
御退屈様、	帰りましょう」と
「どこへ	行ったんですかね」
迷亭は	頓着しない
加減が	能いんですか」
薬だとか	云って
「何でも	読んでからです」
訴を	聞いて
「この間などは	甞めさせまして……」
ものを	やるから
二三日前には	あげましてね……」
「なに趣向も	有りゃしません、
善人ですよ」	出来ませんわ」と
不平を	云わんでも善いで
不足なく	暮らして行かれれば
道楽は	せず、
大違いで……」	やりますかね
油断の	ならない
本ばかり	買いましてね
それも	買ってくれると
払いを	とりに
「それじゃ、	削減させるさ」
ため	聞いておけと
細君に	表していると
「何んでも	あって……」
妙ですぜ」	覚えられませんわ
七代目樽金が	どうかしましたかい」
細君は	掛る
「何	冷かすなんて、
七代目樽金は	振ってると
誰でも	いい、
王様は	云うそうです
九冊が	なり、
迷亭も	窮したと
本を	買って
この間	ある
細君は	向き直る
評判が	かかるのは、
文は	ありましたよ」
方でしょうな」と	ぶら下げる
「書物は	すまいが、
学校から	帰って
御膳を	乗せまして——
月並でない」と	する
月並でないか	分りませんが、
「曖昧じゃありませんよ、	分っています、
迷亭も	なると
月並と	云うの
私には	分りませんわ」と
「それじゃ	つけて
手数の	かかる
生徒に	加えて
「君まだ	いるのか」と
酷だな、	帰るから
留守中に	残らず
「君は	さしたそうだな」
以来、	出すから
ものだな」	来るのかい」と
一時までに	来いと
寒月を	呼んで
何でも	するとか
稽古を	やるから
家へ	呼ぶ
演説なんか	分らん」と
問題が	マグネ付けられた
力学と	云う
妻君は	退く
主人は	撫でる
時のみは	撫で方であった
約七分くらいすると	来る
今日は	すると
「さっきから	待った
願おう、なあ君」と	見る
主人も	する
