　どこで	生れたか
奴だ」と	ぷんぷんする
そばで	云う
一人が	云うと
一人が	する
主人は	怒鳴る
サヴェジ・チーだ」と	罵
主人は	飛び出す
迷亭は	云う
寒月は	にやにやする
吾輩は	立っている
狐に	抓まれた
　例によって	忍び込む
　例によってとは	解釈する
度合を	示す
二度	やりたい
三度以上	繰返す
ために、	通うのかと
人間は	貰いたくない
語弊が	ある、
吾輩が	行くのは、
世の中に	賤しい
ために	起して、
——そんなら、	使用した？
意味の	ある
考に	よると
大空大地を	製造する
自分が	製造しておらぬ
所有と	差し支えないが
大地を、	劃し限るのは
土地を	切り刻んで
切売が	出来ず、
如是観によりて、	這入って行く
処へは	行かぬが、
ものに	する
——	叶わない
強勢は	通らない
無理に	通そうとすると
理は	あるが
天秤棒は	忍ばざるべからず
邸内へは	故込まざるを得ず
吾輩は	忍び込むのである
度が	重なるにつけ、
鼻子夫人が	洗う
時分喧嘩を	して、
——	数え切れない
　近頃は	上り込む
賑かであるか、	あると
事を	した
金田君は	あるそうである
人を	思わない
猫でも	出来ぬ
油断の	出来ぬ
それは	御吹聴仕ろう
模様だなと、	見渡すと
鼻が	向いて
鼻に	睨まれたのは
金田君は	相対しているから
口髯が	茂生しているので、
春風も	云う
御客さんは	有している
紹介するに	足るような
普通と	云うと
面構を	有すべき
例のごとく	行って
妻が	出掛けて
「なるほどあの男が	教えた
要領を	得んので」
沙弥じゃ	得ない
「困るの、	困らないのって
「何か	申しましたか、
妻が	聞くと
怪しからん訳で——	出ますから——
ないのにゃ	気が付かないで、
言語同断で、	云うのは
ためにも	なる事ですから」と
学校へ	出ても
黙っているのかと	思ったら
事を	やったんで……」と
「なあに、	通ったんだそうです、
何か	云ったって
教師ですからな」と	云うと、
教師たる以上は	おとなしくしておらねばならぬとは
役にも	立たない
人にゃ	逢いましたよ」
「ああ迷亭ですか、	吹くと
所で	御逢いになったんですか
あれに	掛っちゃ
あれも	昔し
嘘を	つくのも
あの男のは	吐くんだから
出鱈目を——	云えると
「ごもっともで、	困ります」
あなた	行った
忌々しくって——	持たせてやったんです
ものを	受取る
御礼だから、	云ったら——
御客さんも	感じたらしい
今日	招いたのだがね」と
馬鹿者は	あるじゃて……」と
吾輩は	いるから
比丘尼が	聞き分けるごとく、
君を	煩わしたいと
「私に	出来ます
口調で	見ると
事件が	発展してくるな、
御彼岸に	して
金田君は	聞いている
苦沙弥と	云う
娘を	貰う
事を	云ったのか」
どころじゃありません、	来てくれたんです」
事と	違って、
事は	心得ているはずですが
「それでの、	御依頼するのだが、
何か	怒っているかも知れんが、
向なら	なるからな——
通り	するのは
事だから、	行かんが、
当人も	なって
水島にも	似合わん
何も	限る
可哀そうですからね」と	出す
「水島と	云う
水島さんは	貰いたがっているんですが、
教育の	ある
私が	参って
御面倒でも、	願いたい
せんだって	行った
土曜ですから	廻ったら、
近頃は	知らん」
前を	突き当って、
訳は	ありません
帰りに	寄って
大体	分りましょう
「標札は	ありますよ
名刺を	貼り付けるのでしょう
雨が	ふると
日に	貼り付けるのです
標札は	当にゃなりませんよ
事を	するより
ほんとうに	知れない
うちと	聞いたら
それで	分らなければ、
何でも	生えた
特色の	ある
鈴木君が	なる
談話も	聞けば
下を	伝わって
　主人は	干している
屋根に	ある
製造元では	買って来たのであるが——
時期を	経過して
今でも	擦り切れて、
考えでは	持ち、
因縁の	ある
彼が	廻転しつつあるかも知れないが、
火は	見詰めている
春風に	浮きつ
——おや、	話しておくはずだった
　細君は	向けて——
解釈次第で	どうでもなる
平気で	突き、
一ヵ年も	立たぬ
主人に	向けた
洗髪を	乾かす
方で	持って来たのかも知れない
先刻御話しを	した
一所に	停
主人は	掛ったが、
——主人が	契った
禿が	反射して、
辺に	なした
主人が	見た
真宗で、	掛けるのが
主人は	記憶している
中に	やいていたので
灯明皿は	消えた
度は	思い出す
ないようであるが、	ある
時分に	行くと
豆は	這入っていた
土器が、	似ている
主人が、	見向きもしない
「何だって、	あるぜ
細君は	答える
露見を	恐れた
「嫁に	くる
嫁に	くる
「いつ	出来たんだか
頭じゃないか」と	帯びている
頭だから、	いんだわ」と
「おや大分	大きくなった
「女は	禿げるんですわ」と
速度で、	出来なければならん
伝染するかも	知れん、
事を	おっしゃるが、
禿が	伝染するなら
白髪は	見えんから
「不具なら、	なったのです
好きで	貰っておいて
今日まで	知らなかったんだ
嫁に	来る
事を！　	及第したら
「禿は	するが、
低いのは	なったんじゃありませんか」
「それは	貰ったのさ」
「廿にも	なって
返答次第では	すまさんと
「廿に	なったって
嫁に	来てから
鈴木君が	尋ねあてたと
　細君は	逃げ込む
主人は	投げ込む
下女が	持って来た
ために	這入ったか一向
所へ	命ぜられた
　下女が	直して、
床に	掛けた
時	出ぬ
ために	敷かれた
ために	敷かれた
平均を	破る
布団が	勧められたまま、
早晩自分の	所有すべき
人間なら	譲る
猫であると	云うのが
平均を	破る
最後に	障る
気の毒そうにでも	している
平均を	破壊する
これほど	あるなら、
人間が	恐れて
腕力に	訴えたなら
人の	見ていぬ
真面目に	して
不名誉を	避ける
訳であるから、	する
吾輩は	している
間に、	着いたが、
名刺こそ	飛んだ
東京へ	出て来た」と
鈴木君は	坐る
忙が	しい
「それは	逢わなかったな
君が	行ってから、
十年近くに	なるね
時	出て来る
方は	しいんだから」
「十年	立つ
鈴木君は	思えない
物まで	ぶら下げなくちゃ、
かい」と	かける
「十八金だよ」と	答えたが
小供が	あるはずだったが
三人	ある
幾人	出来るか
事を	云ってるぜ
大きいのは	なるかね、
いくつか	能く知らんが
教員にでも	なれば
三日で	嫌になるから」
気楽で、	あって、
実業家に	なるなら
方に	なると
金さえ	取れれば
「まさか——そうばかりも	云えんがね、
男なんだよ、	いるんだが」
「大変	怒ってるね
冗談だろうがね、	せんと
君のように	解釈しちゃ
君	行ったんなら
「鼻だよ、	云ってるんだ
せんだって	作ったがね」
「何だい俳体詩と	云うのは」
「俳体詩を	知らないのか、
「ああ僕のように	しいと
恰好を	知ってるか」
「エルリントンは	つけられていた
君	知ってるか」
事ばかり	して、
鼻なんか	尖んがってても」
事を	知ってるか」
試験を	受けに
パスカルが	どうしたんだい」
「パスカルが	云っている」
鼻が	かかったならば
「それだから	いかん」
いいさ、	大事にするから
そりゃそうとして、	思い出せない
——	云うじゃないか」
事について	聞きたい
今日	行ったら……」
間鼻が	来た」
細君も	云っていたよ
苦沙弥さんに、	上ったら、
鼻を	つけて来るから
事を	云うんじゃないよ
迷亭君が	おった
今まで	した
「御苦労様」と	答えたが、
夜に	潜ったような
頑固光沢消しを	製造された
彼が	云うと、
先日	したのは
相違ないが	云わねばならぬ
自分が	愛している
鈴木君の	云うごとく、
——苦沙弥先生は	思っている
——も	し
事件に対して	改めるには、
娘は	来たがってるのか
鼻は	構わんが、
その——	来たがってるんだろうじゃないか」
事だけ	聞いて
鈴木君も	見える
言葉だ」と	よらず、
これゃちょっと	云いようが
方でも	あるんだよ
——細君が	云ったよ
何でも	あるそうだがね」
「怪しからん奴だ、	云うなんて
もので、	あるからね」
奴が	いる
奴が	あるから
妻君も	解釈しているのさ
戸惑いを	した
解釈を	聞いて、
鈴木君は	移す
「君	考えても
寒月だって	えらいかも知れんが
——財産と	云う
それを	出張するくらい
今度は	出来たらしいので
今	云う
せんだって	来た
細君も	賞めていたよ
——	云うんだがね、
金田だけなら	いらんのさ、
先方で	請求するのも、
無理ではないように	思われて来れば、
主人を	活かすのも
「それじゃ、	見よう
当人が	貰う
君	して
際に	引いて
「気を	引いて
気を	引くと
——	引かんでもね
「君にゃ	分るかも
迷亭君	見たように
随意に	すべきはずの
今度寒月君が	来たら
口に	かかると
狎客に	なると
何でも	限る
上等じゃないか」と	頬張る
鈴木君は	もじもじしている
主人は	にやにやしている
迷亭は	もがさしている
吾輩は	思った
禅家で	やるのが
一生旅烏かと	思ってたら、
長生は	したい
僥倖に	廻り合わんとも
仲間でも	逢わなければ、
「可哀そうに、	馬鹿にした
「君電気鉄道へ	乗ったか」と
諸君から	ひやかされに
田舎者だって——	持ってるよ」
馬鹿に	出来ないな
僕は	持っていたが、
君が	出てくれば、
冗談は	高くなるばかりだから」
半株だって	持ってる
そこへ	行くと
株と	云えば
世の中では	有している
「株などは	構わんが、
「曾呂崎が	乗ったら、
「曾呂崎と	云えば
男だったが	した」と
飯を	焚く
時には、	凌いでいた」
曾呂崎の	焚いた
御負けに	食わせるんだから、
「苦沙弥は	出たが、
実を	云うと
論理が	ある
汁粉より	号して、
「アハハハそうそう坊主が	叩いては
相撲を	とって
是非元のように	起せと
金巾の	しゃつに
「それを	すました
腹を	立てた
言草を	覚えているが
言草なんか	覚えている
石塔は	出来ていたよ
時に	盗んで行きたかった
原理に	叶って、
こうだぜ——	専攻するつもりだから
僕も	思ったから
画才が	頓挫して
君に	折られたのだね
僕は	ある」
法螺吹だったな」と	割り込んで来る
「約束なんか	履行した
詰問を	受けると
境内に	咲いていた
答えに	云うから
書物なんか	書く
僕に	奢る
一向稿を	起す
七日	立っても
百日紅が	散って
理窟を	つけたのかね」と
意志だけは	せんと
「一枚も	書かんのにか」と
時	云ったぜ
吾輩は	譲らん
美学原論を	する
それだから	出来なかったのは
西洋料理などを	奢る
特色を	発揮して
迷亭の	おらぬ
これが	特色かも知れない
今でも	怒っている
それだから	探しているじゃないか
著書と	云えば
「君は	出来ん」
君寒月が	起したのを
妙に	見識張った
君	是非通知してやるがいい、
鈴木君は	合図する
主人には	通じない
さっき	逢って
滑稽でもあり、また	悪らしくもなる
寒月が	しかけたのは
娘を	貰おうが貰
博士に	なるのは
隅で	喰うまで
論文を	書きかけたのか」と
人の	云う
——	分らんがね
鼻の	恐縮するような
さっきから	云うのを
迷亭は	気が付かないから
「その後	したが、
鼻なども	見せたら
鼻名を	垂れる
今度	来たら
あの娘は	来たいのだそうだ」と
子でも	する
「鼻恋でも	貰えばいいが」
今日は	軟化しているぜ」
「軟化は	せん、
鈴木、	聞かせるがね
息女などを	崇め奉るのは、
容子が	変っていないから
ところを	かけるがね
非常に	重んじた
事には	与えたと
妙だね」と	合せる
両三日前に	至って、
漆桶を	抜くがごとく
仰山なので、	する
主人は	向いている
迷亭だけは	弁じつづける
説明を	明記して、
学者と	称せらるる
曰くさ——	いかん
彼等希臘人が	おいて得る
褒美にも	なり、
智識	至っては
報酬として	与えんと
珍宝が	あろうか
ものを	やれば
彼等は	したのであるが、
事は	理解出来るだろう
原理を	服膺した
金田某は	過ぎんのである
如何と	見れば
府を	卒業して
吾妻橋を	通り掛って
喩を	もって
智識を	もって
弾丸が	爆発するなら、
寒月には、	釣り合わない
大象と、	結婚するような
苦沙弥君」と	云って
術なげに	答える
さっきまで	ついた
好加減に	あしらって
抵抗は	避けるのが
目的は	ある
思い通りに	進捗すれば、
事件が	進捗すれば
鈴木君は	成功し、
極楽主義を	発明した
「君は	奮闘したじゃないか」
それでなくては	出ちゃいられん訳だ
僕も	劣らんつもりだが、
教師が	言ったって
ブルヌチェルが	攻撃した
高が	引くのは
懐剣を	もって
剣呑だから	行って
愛嬌が	あっていい
鈴木君」と	云うと
十年振りで	始めて
談話は	ならなくてね
何を	云うにも
友達と	話すのが
迷亭君に	遇って
僕は	失敬する」と
出来事を	洩れなく
描写に	価する
休養は	猫といえども
鈴木君と	帰った
主人は	籠る
小供は	寝る
襖を	隔てて
花曇りに	急いだ
下宿で	吹くのが
晩餐に	した
　ほのかに	承われば
上は	話しである
回顧すれば	云う
富子さえ	恋慕したと
春宵を	狂い廻るのを
状態は	欲するのみである
恋も	出来ぬ
裾へ	廻って
眼を	開いて
癖として	寝る
横に	なって
時は	ある
一行も	読まぬ
毎夜	読まない
時は	抱えて来る
毎晩	抱えて来た
これは	寝つかれないごとく、
今夜も	有るだろうと
拇指が	挟まった
本と	並んで
　細君は	外している
口を	開けて
生涯	かいた
音を	出す
北の方へ	行くと
第一天井から	落ちた
方はと	見ると
姉の	とん
妹の	すん
双方共	寝た
姿勢を	維持しつつ
天真爛漫ながら	極まる
何時だろうと	見廻すと
人から	すると
私は	主張する
事実は	困る
世の中には	しておりながら、
これは	自信しているのだから
紳士淑女は	属するのだと
夜は	更けたようだ
雨戸に	中った
今頃人の	来る
鼠だろう、	極めているから
——また	中る
主人の	出る
せんだってなどは	臆病すぎる
今度は	滑らせる
深夜に	乞わず
御高名だけは	知らん
陰士と	すれば
上に	上げて
三足目と	思う
毛が	擦すられたような
足音も	しない
細君を	見ると
主人は	見ているのだろう
台所で	擦る
陰士でも	利かぬと
時	考えた
陰士は	抜けるであろうか
——足音は	出た
陰士は	這入った
この間に	起してやりたい
裾を	見たらと
鼻を	擦り付けたらと
にゃーにゃーと	二返ばかり
思いで	渋りながら
足音が	し出した
椽側を	伝って
間に	忍ばせて
前へ	来て
吾輩は	なる
あとで	考えたが
御蔭で	開いたのは
三つ目が	濡れたように
それを	透して
舌は	消える
ものが	あらわれる
事には	見ないで、
一分にも	足らぬ
我慢出来んから	飛出そうと
人を	御紹介するの
神は	崇められている
神は	被っている
俗人の	考うる
パラドックスを	道破した
神が	作ったそうな、
聖書とか	云う
人間について、	傾いた
外でもない、	かように
道具は	極っている、
換言すれば	作り上げられている、
材料でかくまで	思いついた
変化は	出来んのである
画工が	消耗して
伎倆であるから、	差し支えないだろう
人間は	恐れ入っているようである、
立場から	云うと
無能でなくとも	出来るだろうと
神が	製造したと
紀念と	見ら
全能とも	云えようが、
眼は	並んでいるので
立場を	換えて
上に	あらわすのが
ラファエルに	違わぬ
弘法大師に	向って
人間の	用うる
乳母から、	習う
能力で	するのである
人真似から	成立する
神が	出来ぬ
吾輩は	忘れてしまった
本を	忘却するのは
吾輩は	湧き出でたのである
——	出れば、
眼前に	あらわれた
眉目が	云う
吾輩は	持たぬが、
左右に	展開した、
二十六七歳でも	あろう、
神も	製造し得る
事を	云うと
下に	植え付けてないので
迷亭から	称せられたる、
陰士も	観察すると
令嬢が	迷ったのなら、
義理は	合わない
才気の	ある、
代りに	差し出しても
寒月君が	動かされて、
吾輩は	安心した
泥棒君が	存在するのは
　陰士は	抱えている
先刻	放り込んだ
半纏に、	むすんで、
先刻から	見ていた、
陰士は	引き込ます
影に	立ったまま
主人は	ぼり掻く
あとは	静まり返って、
寒月だと	云ったのは
陰士は	うかがっていたが、
今度は	聞えぬ
片足も	踏み込む
春灯で	照らされていた
影が	動いている
好男子も	見ると、
陰士は	笑った
笑い方までが	驚いた
枕元には	置いてある
住人多々良三平君が	帰省した
山の芋を	飾って
女と	知ろうはずが
かくまで	置いてある
陰士は	見たが
山の芋を	盗むなと
滅多に	立てると
陰士は	くるみ初めた
あたりを	見廻す
主人が	寝る
陰士は	しょう
女が	好く
二枚、	押し込むと、
恰好に	なった
嘘だと	思うなら
安を	捲きつけた
次は	するかと
やり口にも	感心した
帯上げと	しごきとを
あたりを	見廻していたが、
中から	出して
ホヤを	消えぬ
主人夫婦は	熟睡している
吾輩はまた	要する
喋舌っていては	続かない
眼が	覚めた
ここから	這入って
あなた方は	つかなかったのですな」
盗難に	罹ったのは
時間が	分るくらいなら
それに	気が付かぬ
細君は	考える
「あなたは	なったんですか」
「俺の	寝たのは
私しの	伏せったのは、
「眼が	覚めたのは
盗賊の	這入ったのは、
「夜中は	分りきっているが、
ところは	見ないと
巡査は	聞いたのであるから、
嘘でも	答えてくれれば
不明なんですな」と	云うと、
巡査は	せずに
何日	して
「品物は	かくんですか」
何点代価いくらと	云う
——いや這入って	見たって
あとなんだから」と	云って
　主人は	云え
喧嘩でも	するような
厭だ、	云えだなんて、
風は	出来損い見たようだ
帯を	出て来ん」
「これで	悪るければ
宿場女郎でも	盗られりゃ
「帯まで	とって
それじゃ	書き付けてやろう
何本も	ある
帯を	しめてるな
今度から	しておけ」
帯が	ある
それだから	云うんです
女房なんどは、	構わないんでしょう」
羽織です、	もらったんで、
羽織を	着るなんて
あなたに	買っていただき
「山の芋まで	持って
とろろ汁に	する
つもりか	知りません
ところへ	行って
「山の芋の	ねだんまでは
「そんなら	しておこう」
唐津から	掘って来たって
御前は	知らんと
論理に	合わん
それだから	云うんだ」
オタンチン・パレオロガスって	云うのは」
あとは——	出て来んじゃないか」
「あとは	ござんす
意味を	聞かして
「意味も	ある
あなたは	馬鹿にしていらっしゃるのね
人が	知らないと
「愚な事を	言わんで、
告訴を	せんと
今から	したって
オタンチン・パレオロガスを	教えて
「そんなら、	ありません」
俺は	やらんから」
「私も	教えて上げません
告訴は	なさるんですから、
廃そう」と	ふいと
細君は	坐る
十分間ばかりは	睨め付けている
　ところへ	あけて、
書生であったが	雇われている
関係から	訪問して
何かで	立て
「先生は	出なすったか」
「いいえ書斎に	います」
ごと	勉強しなさると
「わたしに	言っても
「そればってんが……」と	言い掛けた
「多々良さん、	持って来て？
姉の	とん
多々良君は	掻きながら
「よう	覚えているのう、
今日は	忘れた」と
姉が	云うと
細君は	なる
「寿司は	持って来んが、
喰べ	なさったか」
姉が	きくと
三平君に	尋ねる
御母あさんに	煮て
東京のとは	違って
喰べて	見なすったか、
下	すった
男が	おりますか？
三平君大に	感心している
夕べ泥棒が	這入ったの？
姉が	尋ねる
細君は	答える
「泥棒が	這入って——
今度は	聞く
奇問には	分らんので
顔を	して
多々良さん	見たような
頭を	掻く
後部には	ある
一カ月前から	出来だして
禿を	見付けたのは
多々良君とは	吹き出したが、
今に	上げるから」と
頭は	どうしたの」と
「虫が	食いました
奥さんも	有んなさるか」
虫が	食うなんて、
英語で	云うでしょう」
「禿は	云います」
名が	あるでしょう」
「先生に	聞いたら、
「先生は	教えて下さらないから、
「私は	知りませんが
「オタンチン・パレオロガスと	云うんです
オタンチンと	云うのが
書斎へ	行って
先生も	変っていなさいますな
うちに	じっとして
上野へでも	出掛けなさる
「あなたが	連れ出して下さい
女の	云う
頃でも	舐めなさるか」
「せんだって、	こぼしていなさいました
ジャムの	舐め方が
何か	云いなさるから、
多々良さんだ、	云うんです」
奥さんだって	していなさる
「顔で	分ります」
ばってんが——	舐めなさらんか」
「ハハハハそうだろうと	思った——
山の芋ばかり	持って
「山の芋ばかりなら	困りゃしませんが、
借金を	しなければならんですか
よかったに——	したなあ
大か	飼いなさい
——猫は	駄目ですばい、
「一匹も	とった
私が	貰って
多々良さんは	食べるの」
うちには	ある
人を	見たら
事を	知る、
狡猾になるのも	卑劣になるのも
老人に	いないのは
「先生泥棒に	逢いなさったそうですな
なん	ち
愚なんだ」と	自任している
方も	取られた
「何にも	取られる
鼠は	している
——先生	くんなさらんか
役にも	立ちません
何に	するんだ」
　主人は	洩らしたが、
主人は	転じて、
着物を	とられたので
昨日までは	重ねていたのに
「先生教師などを	して
泥棒に	逢っても、
事を	言ったって
細君が	する
細君は	貰いたいのである
「先生学校を	卒業して
九年目でしょう」と	顧みる
「九年	立っても
勉強しても	褒めちゃくれず、
嫌いだ」と	考えているらしい
奥さんだけですか」と	云う
横を	向いて
御嫌なんでしょう」と	凹ましたつもりで
返事を	する
「先生	なさらんと、
——そうして	なんなさい
金なんか	儲けるのは、
儲けも	せん
去年	這入ったばかりです
先生より	あります」
細君は	聞く
五十円に	なります」
内を	預って
——奥さん小遣銭で	買いなさらんか、
金さえ	あれば、
御金が	あれば
「それだから	云うんです
先生も	出なされば、
——先生あの	知ってなさるか」
昨日	来た」
せんだって	ある
「近頃東京へ	来たそうだな」
「ええ今まで	おりましたが、
私なぞにでも	話します
——先生	貰ってると
「月給が	つきますから、
あげな男が、	おるのに、
人間と	異なる
困窮するだけに	欲しいのかも知れない
利益を	吹聴して
ところへ	云う
「大変学問の	出来る方だそうです」
名を	知っているのかい」と
人から	頼まれました
事を	聞くだけの
笑いも	せず
博士に	なりますか」
「今論文を	書いてるそうだ」
人物かと	思ったら」
見識ですね」と	笑いながら
「博士に	なったら、
「私に	聞いてくれと
人にゃ、	云い切りません
うちへなんぞ	来ちゃ
散歩を	しようか」と
運動でもしたら	暖かになるだろうと
上野に	しますか
芋坂へ	行って
団子を	食った
奥さん一	返行って
酒も	飲ませます」と
吾輩はまた	要する
多々良君が	して、
旻天から	要求して
この世に	生息すべき
神	ありて
主人のごとく	吹き込んだまでの
多感多恨に	して
先刻	目して
物象にのみ	使役せらるる
何でも	端折って、
達磨と	云う
中は	考え込んでいる
儒家にも	あるそうだ
これだって	閉居して
活力は	燃えている
態であるから、	立てるのである
皆形を	見て
一歩	退いて
大声は	入らず、
活動を	見る能わざる
注文に	過ぎん
以上は	標置するとも、
細君や	評価してくれんのは
頭を	もって
堂陲に	坐せずとの
猛虎も	入れば
庸人と	相互する
庸猫たらんと	すれば
——	極めた
せんだってじゅうから	しているそうだ
混成猫旅団を	組織して
事であるから	捕れる
昔し	向って、
猫が	とるようにとは、
女	賢しゅうしてと
鼠の	捕れん
今まで	捕らんのは、
日は	ごとく暮れて、
今夜こそ	して、
畳数に	したら
貧乏勝手に	似合わぬ
六尺は	なっている
下に	置かれて、
大根卸し、	控えている
真黒に	なった
籠が	揺れて
籠は	釣るすのか、
どこで	戦争するかと
こっちに	云って
ここにおいてか	研究する
方面から	来るかなと
心持が	する
下女は	戻って来ん
小供は	寝ている
主人は	引き籠っている
細君は	知らない
大方居眠りを	して
門前を	通るが、
決心と	云い、
東郷大将としか	思われない
境界に	入ると
鼠と	するのは
観察から	得た
鼠であるならば	流しから、
時は	絶ってやる
溝へ	抜く
上に	陣取って
あたりを	見廻すと
鼻を	付けて
ここから	吶喊して
天井から	来たらと
処から	落ちてくる
三方から	攻撃される
一口なら	見せる
二口なら	ある
三口と	なると
ものを	頼んでくるのも
智慧が	出ない
法の	つかない
世間を	見渡して
きのう	貰った
心配したって	付かんからである
場合でも	起らぬと
吾輩も	欲する
三面攻撃は	起らぬと
心配が	取れぬから、
うち	選んだのが
戸棚から	出る
東郷大将は	心配されたそうだが、
吾輩は	似ているのみならず、
吾輩が	夢中になって
顔だけ	出ると
部分は	見えんのに、
御三は	する
書斎で	出しておけと
ために	飾るのか
壮士を	気取って、
ステッキ、	なるだろう
鼠は	出そうにない
吾輩は	要する
座敷なら	云うような
彼岸桜を	誘うて、
二三度	振って
鼠の	出る
どこから	出るだろう
中で	しだす
縁を	抑えて、
ここから	出るわいと
音は	やんだが
戸を	隔てて
口まで	近寄るが、また
一枚向うに	逞しくしているのに、
鼠は	うしている
吾輩の	這入れるだけ
今度は	鳴る
敵は	来たなと、
風呂場でうがい茶碗が	当る
今度は	込む
ものかと	続いて
鼠を	捕るのは
吾輩は	知らん
吾輩が	廻ると、
小癪と	云おうか、
吾輩は	成功しない
小人を	しては
始めは	あったが
八方睨みを	極め込んでいれば
敵と	思った
念を	過すと
ぼーと	した
吾輩は	眠くなった
吾輩は	眠る
敵中に	在っても
横向に	向いて
これに	続く
吾輩は	上る
力を	込めて
耳に	喰い下がったのは
先が	思い掛
手懸りに、	ふると、
ところを	乗し掛れば、
彼は	見上ぐる
中に	差し込む
吾輩は	飛び上がろうとした
前足だけは	かかったが
尻尾には	喰い下っている
前足を	懸け
度に	浅くなる
二三分	滑れば
棚板を	掻きむしる
これでは	ならぬと
尻尾に	喰いつく
時まで	せずに
爪は	失う
塊まりが	なって
段に	乗せてあった
すべてが	立てて
「泥棒！」と	飛び出して来る
片手には	提げ、
吾輩は	踞る
怪物は	かくす
主人は	聞いている
月が	傾いたので、
皮を	脱いで、
人間から	見たら
たまには	あびたくない
団扇でも	使って
それを	思うと
ものを	煮て
猫のように	着通せと
羊の	御厄介になったり、
衣食は	行かぬ
毛などと	云う
坊主とか	自称する
その上へ	かぶる
頭巾で	包む
これでは	立たんではないか
櫛とか	称する
等分に	しないと
中には	ある
次には	切り落す
頭へ	はめているから、
ほか	あると
憂身を	窶して
第一、	使わないと
四本であるけば	行く訳だのに、
これで	見ると
おかしいのは	しまいかと
彼等の	ある
こせこせしてくれと	頼んだ
自分で	負えぬ
猫だって	はおられんさ
気楽になりたければ	するが
——とは	云うものの
毛衣では	つ過ぎる
これでは	出来ない
観察を	怠ったから、
昼寝は	やるし、
時に	来ると
水を	浴びる
一杯」などと	響き渡るような
うちへ	来て
迷亭に	極っている
これで	潰せると
細君は	したので
ゃいまし」と	云ったが
今	来たばかりなんですよ
今風呂場で	掛けて
ところで——	暑いじゃありませんか」
細君は	とらない
昼寝などを	致した
昼	寝られて、
沙弥君などのように	来る
胃弱に	答えるからね
人でも	載せてるのが
以上は	行かずね」と
上へ	載っけておく
重みだけでも	なりたくなりますよ」と
　迷亭は	云う
「フライを	なさったんでございます」
バタを	溶かして
半熟に	ならないから、
今頃から	暑くなるのは
せんだってじゅうは	暑くなりましてね」
倒行して	可ならずやと
逆戻りを	する
最前の	倒行して
これを	問い返されないと
御存じですか」	存じませんわ」
ハーキュリスが	引っ張って来たんです」
　そんなら、	おっしゃればいいのに」と
希臘なんですか」	思いました
男が	寝ている
せがれが	盗んだんで
尻尾を	持って
足跡を	つけたって
せがれに	しては
御主人は	どうしました
午睡も	出てくると
毎日	見るような
第一あなた、からだが	くなるばかりですから
今御飯を	いただいたばかりだのに」と
時分どきだのに	気が付きませんで——
迷亭は	御免蒙るんです
今途中で	来ましたから、
細君は	云ったが
眠を	扱かれたような
心持に	寝ようとした
鳳眠を	驚かし奉って
さあ坐りたまえ」と	する
主人は	吸い始めたが、
迷亭は	差し出す
柔らかいんですね」と	わす
「奥さん	聞きますからね」と
細君が	驚く
帽子を	取って
帽子は	平たくなる
それを	巻くごとく
通り」と	丸めた
事ねえ」と	感嘆すると、
最後に	突いた
大丈夫かい」と	する
細君は	する
得意なのは	回復する
帽子です事ねえ、	どうしたんでしょう」と
帽子を	なったら、
沙弥君は	持ってるじゃありませんか」
迷亭君は	見せる
帽子は	なさい
奴で、	使えるんです」
鋏が	使えます」と
ここに	ありましょう、
根に	ありましょう、
上へ	置くと
裏には	してあるから
ヤスリが	付いている
先きを	刺し込んで
うんと突き込んで	こじ開けると
先は	出来ている
字を	削る
しまいに——	しまいが
欺されたと	思って、
鋏を	渡す
細君は	つけている
真黒ですわ」	「真黒じゃいけませんね
方へ	向いて、
写真を	張り付けたんでしょう」
最前から	黙っていた
腰まで	ありますよ
美人ですね」	見せるがいい」と
遠さま、	遊ばせ」と
御免	蒙って、
真面目なような	巫山戯たような
主人は	云った
滅多に	中る
蕎麦の	延びたのと、
「君	入れると
「蕎麦は	食うもんだあね
好きだ」	食うもんだ
味を	解しない
「奥さん蕎麦を	食うにも
者に	限って、
何でも、	引っ掛けてね」と
下を	見ると、
長さ加減は」と	要求する
奥さんは	する
奴へ	三分一つけて、
味が	なくなる
咽喉を	滑り込む
左手に	受ける
中には	這入っているから、
箸は	動かない
ツユが	溢れるばかりである
ここに	至って
両眼から	流れ出した
山葵が	利いた
ものだ」と	敬服すると
迷亭は	敲いたが
それより	掛けちゃ
寒月君が、	やってくる
御入来だが、	失敬しますよ」と
食方も	しなかった
博士論文は	脱稿するのかね」と
寒月君は	云う
問題だから、	ならないね
あの鼻なら	うかがうだけの
問題は	云ったっけな」
寒月先生だ、	振ってるよ
苦沙弥君、	報知しておいては」主人は
実験も	しなくちゃなりませんが
直線とか	云うのは
実験上	差し支えない
せんだってから	やり始めたのです」
ものですか」と	云ったが、
半径が	長過ぎるからと
そいつを	磨り潰したかと
思いで	取ると
始めは	なります
大豆ほどに	なります
大豆ほどに	なっても
私も	磨りましたが——
「どこで	磨っているんだい」
熱心を	聞かせたら、
先日	ある
男が	向くとは
主人は	聞く
容子じゃ	かかりそうです」と
「十年じゃ——	磨り上げたら
　寒月君は	及びませんよ
金田でも	磨ってる
二三日前	行った
今まで	分らぬながら
体であったが	とぼけている
迷亭君で、	飛び出してくる
「先月	行った
時には	云う
夢に	しても
奥さんのように	しない
軽蔑なさるのね」と	切り付ける
「君だって	恋煩いなんかした
艶聞などは、	経過しているから、
事」と	云ったのは
寒月君だけは	にやにやする
